name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Laysara: Summit Kingdom,10-04-2024,37722,20.39,602187.0,8.358782444731016,84,Indie,"Future Friends Games,Quite OK Games",Quite OK Games,1823950
Arms Trade Tycoon: Tanks,06-02-2024,22152,30.39.00,601167.0,10.179553939681757,74,Indie,MicroProse Software,FunGi,1662210
Turnip Boy Robs a Bank,18-01-2024,49027,15.39,600836.0,3.8171493812781394,96,Indie,Graffiti Games,Snoozy Kazoo,2097230
Star Trek: Resurgence,23-05-2024,30539,25.39.00,597802.0,6.086680921848769,91,Indie,Bruner House,Dramatic Labs,2653940
Hospital 666,05-03-2024,102445,08.39,596521.0,2.5738297964679915,72,Indie,Lokin,Lokin,2774380
Dice & Fold,24-06-2024,56528,13.39,582729.0,8.30640528155963,0,Indie,"Rogue Duck Interactive,Gamersky Games",Tinymice Entertainment,2693930
Artisan TD,22-07-2024,41175,17.39,577505.0,14.72206964107766,91,Indie,Unexpected,4rtisans,2224640
Caribbean Legend,15-02-2024,26133,30.39.00,562753.0,43.28639704487596,76,Indie,"BlackMark Studio,Valkyrie Initiative",BlackMark Studio,2230980
SKALD: Against the Black Priory,30-05-2024,44588,15.39,560803.0,13.160084375258686,96,AA,Raw Fury,High North Studios AS,1069160
Supermarket Together,09-08-2024,2085116,0.0,554295.9124042441,6.334958879516334,0,Indie,DeadDevsTellNoLies,DeadDevsTellNoLies,2709570
SteamWorld Heist II,08-08-2024,21930,30.39.00,552082.0,15.884763355350692,96,Indie,Thunderful Publishing,Thunderful Development,2396240
Autopsy Simulator,06-06-2024,25263,25.39.00,548556.0,3.5028611346440464,45,Indie,Team17 Digital Ltd,Woodland Games,1283230
Vanity Fair: The Pursuit,19-02-2024,123654,07.39,543074.0,4.614620041573028,0,Indie,WaveGame,MuYan Studio,2758000
Resist the succubus—The end of the female Knight,26-07-2024,54751,17.39,535736.0,4.66734514818441,77,Indie,OTAKU Plan,BoRoBoRoGame,1868000
Garden Life: A Cozy Simulator,22-02-2024,25529,25.39.00,530576.0,14.706945589014907,80,AA,Nacon,stillalive studios,1915380
